date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-06-05,TX,202406,21350.0,21493.0,21226.0,21463.0,136.0,0.64,108838,21460.0,21422.6,21583.3,21363.25,20737.38,19661.72,56.145593321347555,22032.601290429844,21363.25,20693.898709570156,260.7574871314864,314.4846079821381,-53.72712085065166,281.14744556700026,2161.0
2024-06-06,TX,202406,21825.0,21962.0,21791.0,21875.0,415.0,1.93,109836,21873.0,21519.4,21610.4,21426.4,20770.26,19705.01,62.578096958197314,22035.97506510663,21426.4,20816.82493489337,275.49889379482556,306.68746514467557,-31.188571349850008,296.7083423122145,1695.0
2024-06-07,TX,202406,21839.0,21908.0,21781.0,21897.0,24.0,0.11,69801,21894.0,21641.8,21643.6,21480.8,20804.46,19748.52,62.89110462535088,22053.338767246467,21480.8,20908.26123275353,285.66382615163093,302.48273734606664,-16.818911194435714,284.586317861342,2016.0
2024-06-11,TX,202406,21920.0,21970.0,21783.0,21798.0,-96.0,-0.44,94289,21801.0,21670.6,21635.9,21526.55,20835.2,19791.31,60.44114467809181,22044.313063572667,21526.55,21008.786936427332,282.4749403781716,298.48117795248766,-16.00623757431606,277.6158665855319,2080.0
2024-06-12,TX,202406,21829.0,22063.0,21790.0,22046.0,245.0,1.12,95615,22046.0,21815.8,21645.1,21578.2,20872.06,19835.82,64.20312129187108,22086.753478013736,21578.2,21069.646521986266,296.5409137422321,298.0931251104365,-1.5522113682044392,277.28616182942244,1954.0
2024-06-13,TX,202406,22308.0,22473.0,22207.0,22323.0,277.0,1.26,114828,22325.0,21987.8,21705.2,21632.0,20912.92,19883.6,67.87758023971745,22211.703027419993,21632.0,21052.296972580007,326.27874570846325,303.73024923004186,22.548496478421384,287.98000741303514,2044.0
2024-06-14,TX,202406,22274.0,22514.0,22270.0,22511.0,186.0,0.83,86467,22510.0,22115.0,21817.2,21689.05,20957.38,19934.13,70.11939819451676,22370.10520334262,21689.05,21007.994796657378,360.8564915998577,315.15549770400503,45.70099389585266,284.83857831210406,1297.0
2024-06-17,TX,202406,22430.0,22554.0,22420.0,22477.0,-33.0,-0.15,91913,22477.0,22231.0,21936.4,21746.1,20996.46,19983.15,69.17908473376747,22487.761351292094,21746.1,21004.438648707903,381.12274275009986,328.348946713224,52.773796036875865,274.06439414695376,1376.0
2024-06-18,TX,202406,22726.0,22812.0,22666.0,22786.0,309.0,1.37,98310,22786.0,22428.6,22049.6,21820.3,21045.2,20036.12,72.75498771193742,22659.866816876453,21820.3,20980.733183123546,417.30715327806683,346.1405880261926,71.16656525187426,278.4169374221714,1216.0
2024-06-19,TX,202407,22883.0,23172.0,22848.0,23129.0,457.0,2.02,71704,23135.0,22645.2,22230.5,21912.9,21098.78,20091.82,76.07347492589868,22889.668938899937,21912.9,20936.131061100066,468.26294895350657,370.56506021165535,97.69788874185122,286.1014418920163,643.0
2024-06-20,TX,202407,23153.0,23380.0,23106.0,23378.0,243.0,1.05,90192,23377.0,22856.2,22422.0,22002.65,21148.86,20152.27,78.15374643481739,23155.64354291336,22002.65,20849.656457086643,522.7124988535979,400.99454794004384,121.71795091355409,285.2370531854437,5.0
2024-06-21,TX,202407,23034.0,23291.0,23025.0,23210.0,-167.0,-0.71,98199,23207.0,22996.0,22555.5,22082.95,21196.04,20212.02,73.50986990790224,23333.292429096855,22082.95,20832.607570903147,546.0138556259881,429.9984094772327,116.01544614875536,290.0772636721977,-301.0
2024-06-24,TX,202407,23050.0,23073.0,22708.0,22746.0,-461.0,-1.99,125022,22754.0,23049.8,22640.4,22142.0,21235.9,20266.68,62.46931313050552,23400.44395981706,22142.0,20883.55604018294,521.0332792439513,448.20538343057643,72.82789581337482,305.21460198132644,-367.0
2024-06-25,TX,202407,22608.0,22776.0,22410.0,22743.0,-11.0,-0.05,126047,22747.0,23041.2,22734.9,22185.4,21275.66,20317.33,62.40405327951165,23463.730692739427,22185.4,20907.069307260575,495.2845851640741,457.621223777276,37.6633613867981,309.5564161255174,87.0
