date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,stoch_slowk,stoch_slowd,profit_or_loss_after_20_days
2020-10-06,12618.0,12704.0,12614.0,12675.0,146.0,1.17,99739,12677.0,12502.8,12457.8,12598.3,12640.34,12076.25,11560.275,54.15610376549388,12988.057924871335,12598.3,12208.542075128664,-36.51197628927184,-28.88284136714754,-7.629134922124301,172.38503968711754,65.4651205840754,50.999729974404296,190.0
2020-10-07,12620.0,12758.0,12606.0,12755.0,78.0,0.62,89405,12754.0,12570.4,12467.4,12606.95,12645.38,12096.3,11565.925,56.82196461171509,13002.512624624676,12606.95,12211.387375375325,-15.946572477516384,-26.29558758922131,10.349015111704926,170.928965423752,83.00315693942326,65.04227066283913,135.0
2020-10-08,12831.0,12876.0,12772.0,12873.0,119.0,0.93,99102,12873.0,12660.8,12504.0,12617.25,12653.7,12116.85,11571.76,60.473080579773494,13028.930397881657,12617.25,12205.569602118343,9.760756121180748,-19.084318847140896,28.845074968321644,167.36261075062686,98.07506882199759,82.18111544849877,63.0
2020-10-12,12935.0,12995.0,12878.0,12920.0,47.0,0.37,106219,12921.0,12750.4,12543.2,12633.35,12663.64,12138.42,11577.095,61.85659208739158,13065.43946990185,12633.35,12201.26053009815,33.53987959741244,-8.559479158230229,42.09935875564267,164.12242426843923,96.87580245160443,92.65134273767512,201.0
2020-10-13,12950.0,12952.0,12816.0,12919.0,-2.0,-0.02,99008,12915.0,12828.4,12617.6,12644.35,12670.1,12158.89,11581.865,61.80702259679391,13093.431852227399,12644.35,12195.268147772602,51.70825406343465,3.4940674861027485,48.2141865773319,162.11367967783644,93.64879446027298,96.19988857795836,152.0
2020-10-14,12940.0,12956.0,12871.0,12888.0,-27.0,-0.21,82548,12890.0,12871.0,12686.9,12655.7,12676.32,12179.24,11586.5,60.19657489895317,13117.194138640909,12655.7,12194.205861359093,62.880533157174796,15.371360620317159,47.50917253685763,156.60555970084812,87.83558361162905,92.78672684116884,375.0
2020-10-15,12838.0,12892.0,12727.0,12840.0,-50.0,-0.39,130422,12840.0,12888.0,12729.2,12658.45,12684.26,12198.12,11590.2,57.69003937429549,13123.634038849075,12658.45,12193.265961150926,67.0880961718467,25.71470773062307,41.37338844122363,157.20516257935898,81.2963775590009,87.593585210301,390.0
2020-10-16,12818.0,12865.0,12718.0,12745.0,-95.0,-0.74,116952,12748.0,12862.4,12761.6,12653.7,12686.58,12218.14,11593.455,52.98739931972787,13113.278110879797,12653.7,12194.121889120204,62.04173561443167,32.98011330738479,29.061622307046882,156.47622239511904,68.30669386810722,79.14621834624575,539.0
2020-10-19,12783.0,12912.0,12782.0,12896.0,148.0,1.16,127215,12893.0,12857.6,12804.0,12653.25,12689.62,12238.93,11597.785,58.74399932945919,13111.859583414913,12653.25,12194.640416585087,69.42659004250345,40.26940865440852,29.157181388094926,157.22792079546767,65.76784782411978,71.790306417076,685.0
2020-10-20,12892.0,12905.0,12844.0,12856.0,-37.0,-0.29,100271,12855.0,12845.0,12836.7,12655.25,12690.04,12257.65,11602.17,56.761233923775976,13117.019152282826,12655.25,12193.480847717174,71.2303752491971,46.461601973366236,24.76877327583086,150.3544978815057,63.23385572126714,65.76946580449807,769.0
